Column,Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS,Subject,Number,Advanced Composition,Non-Western Cultures,US Minority Cultures,Western/Comparative Cultures,Literature & the Arts,Historical & Philosophical Perspectives,Physical Sciences,Life Sciences,Quantitative Reasoning 2,Quantitative Reasoning 1,Behavioral Sciences,Social Sciences,GeneralEducation
65,2023,Spring,2023-sp,AFRO 276,Afro-American Hist Since 1877,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,276,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,US Minority Cultures
65,2023,Spring,2023-sp,AFRO 276,Afro-American Hist Since 1877,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,276,,,,,,,,,,,,,Historical & Philosophical Perspectives
66,2023,Spring,2023-sp,AFRO 281,Constructing Race in America,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,281,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,US Minority Cultures
66,2023,Spring,2023-sp,AFRO 281,Constructing Race in America,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,281,,,,,,,,,,,,,Historical & Philosophical Perspectives
67,2023,Spring,2023-sp,AFRO 287,African-American Women,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,287,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,US Minority Cultures
67,2023,Spring,2023-sp,AFRO 287,African-American Women,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,287,,,,,,,,,,,,,Historical & Philosophical Perspectives
68,2023,Spring,2023-sp,AFRO 290,Af Am Urban Hist Since 1917,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,290,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,US Minority Cultures
68,2023,Spring,2023-sp,AFRO 290,Af Am Urban Hist Since 1917,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,290,,,,,,,,,,,,,Historical & Philosophical Perspectives
69,2023,Spring,2023-sp,AFRO 310,Race and Cultural Diversity,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,310,Advanced Composition,,US Minority Cultures,,,,,,,,,,Advanced Composition
69,2023,Spring,2023-sp,AFRO 310,Race and Cultural Diversity,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,310,,,,,,,,,,,,,US Minority Cultures
70,2023,Spring,2023-sp,AFRO 340,Dancing Black Popular Culture,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,340,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,US Minority Cultures
70,2023,Spring,2023-sp,AFRO 340,Dancing Black Popular Culture,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,340,,,,,,,,,,,,,Historical & Philosophical Perspectives
